review,sentiment
"Aesthetic restaurant cum bar foods look good and taste good thanks to attendant Priyanka Roy",positive
"Food was super delicious we licked our fingers",positive
"Neat and clean hygienic good service tasty food",positive
"Food quality very poor now very disappointed",negative
"Arrogant staff rude behaviour unprofessional",negative
"Food was good but had to wait 25 minutes",negative
"Amazing place clean ambience great service",positive
"Excellent place must visit value for money",positive
"Amazing food real north indian service fast",positive
"Very bad service rude staff",negative
"Good atmosphere good food but price high",negative
"Lovely place great aesthetics fantastic service",positive
"Good ambience very clean tasty food",positive
"Pasta amazing pizza good pancakes delicious",positive
"Waited half hour did not get coffee",negative
"Good place food okay",neutral
"Good food good service good packaging",positive
"Good food good hangout place",positive
"Excellent cuisine",positive
"Amazing food incredible hospitality",positive
